"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price NOK"
"1","1","1528-5591-ND","5591","ADAFRUIT LTR-329 LIGHT SENSOR -","","1","0","47,84000","47,84"
"2","1","2046-RT1X2-ND","RT1 X 2","REFLECTIVE TAPE","","1","0","129,69000","129,69"
"3","5","751-1029-1-ND","TCND5000","SENSOR REFLECTIVE PIN 940NM SMD","","5","0","28,06000","140,30"
"4","10","3147-B15P1PD--H9C000213U1930CT-ND","B15P1PD--H9C000213U1930","SENSOR PHOTODIODE 940NM 1210","","10","0","1,49000","14,90"
"5","5","1080-1139-ND","PD204-6B","SENSOR PHOTODIODE 940NM RADIAL","","5","0","4,57000","22,85"
"6","5","732-13444-ND","1540051EC3590","SENSOR PHOTODIODE 940NM RADIAL","","5","0","5,95000","29,75"
"7","10","296-1391-5-ND","LM324N","IC OPAMP GP 4 CIRCUIT 14DIP","","10","0","1,17000","11,70"
"8","10","MCP6002-I/P-ND","MCP6002-I/P","IC OPAMP GP 2 CIRCUIT 8DIP","","10","0","4,68000","46,80"
"9","10","160-1031-ND","LTR-3208E","SENSOR PHOTO 940NM TOP VIEW RAD","","10","0","3,22100","32,21"
"10","10","754-APDA3020P3C-P22CT-ND","APDA3020P3C-P22","3.0X2.0MM RIGHT ANGLE PHOTOTRANS","","10","0","4,20900","42,09"
"11","10","3147-B15W1IR--20C000112U1930CT-ND","B15W1IR--20C000112U1930","3.2(L)X1.6(W)X1.85(H) MM IR","","10","0","1,38000","13,80"
"12","10","3147-B15P1PD--H9B000113U1930CT-ND","B15P1PD--H9B000113U1930","SENSOR PHOTODIODE 940NM 1210","","10","0","1,49000","14,90"
"13","3","VSLY5940-ND","VSLY5940","EMITTER IR 940NM 100MA RADIAL","","3","0","15,95000","47,85"
