Designator,Mid X,Mid Y,Layer,Rotation
C1,69.385,-56.865,top,90
C2,70.865,-59.345,top,-90
C3,75.685,-65.585,top,0
C4,62.465,-62.115,top,180
C5,69.335,-63.235,top,-90
C6,68.14,-63.26,top,-90
C7,62.465,-61.145,top,180
C9,81.245,-61.305,top,0
C10,80.125,-59.445,top,-90
C11,85.855,-56.72,top,-90
C13,82.105,-57.385,top,180
D1,59,-65,top,90
D2,59,-55,top,90
D3,59,-60,top,0
J1,100.075,-60.025,top,-90
Q1,63.345,-65.475,top,0
Q2,84.395,-60.875,top,0
R1,70.945,-56.875,top,90
R2,70.865,-63.225,top,-90
R3,70.875,-61.325,top,-90
R4,81.125,-63.965,top,0
R5,81.185,-62.795,top,0
R6,87.705,-60.83,top,-90
R7,89.53,-58.87,top,90
R11,62.445,-63.075,top,0
R12,64.655,-63.085,top,0
R13,62.455,-60.045,top,0
R14,68.731,-60.627,top,0
R15,68.675,-61.675,top,0
R16,80.225,-57.445,top,90
R17,82.095,-58.485,top,180
R18,84.37,-56.295,top,180
U1,75.625,-60,top,0
