Comment,Designator,Footprint,JLCPCB Part
 CC0402KRX7R9BB103 Unpolarized capacitor, C1 C5,C_0402_1005Metric, C60133
 CC0402KRX5R9BB104 Unpolarized capacitor, C2 C3 C4 C6 C9 C10 C11 C13,C_0402_1005Metric, C105882
 CL05A225MQ5NSNC Unpolarized capacitor, C7,C_0402_1005Metric, C12530
 3147-B15P1PD--H9C000213U1930CT-ND Photodiode, D2,LED_1210_3225Metric,
 Light emitting diode, D1,LED_1210_3225Metric,
 XL-1608SURC-06 Light emitting diode, D3,LED_0603_1608Metric, C965799
" BM08B-SURS-TF(LF)(SN) Generic connector, single row, 01x08, script generated", J1,JST_SUR_BM08B-SURS-TF_1x08-1MP_P0.80mm_Vertical, C5143489
" 4530-BSS138CT-ND 50V Vds, 0.22A Id, N-Channel MOSFET, SOT-23", Q1 Q2,SOT-23, C112239
 RC0402JR-0727RL Resistor, R11,R_0402_1005Metric, C137890
 RC0402FR-07100RL Resistor, R6,R_0402_1005Metric, C106232
 RC0402FR-071KL Resistor, R3 R5 R13 R14 R16,R_0402_1005Metric, C2935237
 RC0402FR-074K7L Resistor, R15,R_0402_1005Metric, C105871
 RC0402FR-0710KL Resistor, R4 R18,R_0402_1005Metric, C60490
 RC0402FR-07100KL Resistor, R1 R2 R7 R12 R17,R_0402_1005Metric, C60491
" MCP6004T-I/SL 1MHz, Low-Power Op Amp, DIP-14/SOIC-14/TSSOP-14", U1,SOIC-14_3.9x8.7mm_P1.27mm, C7378
