Designator,Mid X,Mid Y,Layer,Rotation
C1,127.085,-56.515,top,180
C2,126.985,-61.545,top,0
C3,84.005,-61.315,top,-90
C4,127.065,-52.145,top,0
C5,127.115,-53.875,top,0
C6,117.075,-63.415,top,180
C7,111.085,-60.645,top,90
C8,117.045,-58.265,top,0
C9,105.625,-64.005,top,180
C10,103.665,-64.005,top,0
C11,107.47,-60.905,top,90
C12,99.585,-61,top,-90
C13,95.135,-61,top,90
C14,123.625,-52.105,top,0
J1,87.775,-70.075,top,180
J2,88.225,-52.775,top,0
J3,57.475,-69.975,top,180
J4,72.675,-69.725,top,180
J5,73.375,-52.375,top,0
J6,52.64,-61,top,-90
J7,57.925,-52.375,top,0
J8,70,-61,top,90
J9,103.295,-52.755,top,0
L1,113.565,-60.755,top,90
R1,85.215,-61.295,top,-90
R2,59.815,-64.015,top,90
R3,59.805,-58.965,top,-90
R4,127.145,-54.925,top,180
R5,127.075,-67.695,top,180
R6,120.565,-60.595,top,180
R7,120.56,-62.64,top,0
R8,120.565,-61.615,top,0
SW1,80.765,-61,top,90
SW2,89.455,-61,top,90
U1,117.285,-60.635,top,0
U2,140.05,-60.74,top,-90
U3,105.145,-61,top,90
U5,97.375,-61,top,-90
Y1,126.985,-59.025,top,-90
